recordingId,trackId,frame,trackLifetime,xCenter,yCenter,heading,width,length,xVelocity,yVelocity,xAcceleration,yAcceleration,lonVelocity,latVelocity,lonAcceleration,latAcceleration
4,25,2028,0,133.998730,-64.826410,35.360940,1.883530,4.669080,6.461380,4.720490,-1.039020,0.739720,8.001270,-0.110300,-0.419250,-1.204570
4,25,2029,1,134.257840,-64.637030,35.647090,1.883530,4.669080,6.421940,4.750340,-1.064680,0.770010,7.987070,-0.117580,-0.416420,-1.246210
4,25,2030,2,134.515200,-64.446910,35.944530,1.883530,4.669080,6.380950,4.781610,-1.092190,0.799940,7.972740,-0.125500,-0.414650,-1.288730
4,25,2031,3,134.771590,-64.255610,36.248770,1.883530,4.669080,6.338040,4.814320,-1.120890,0.829270,7.958030,-0.134910,-0.413600,-1.331540
4,25,2032,4,135.026350,-64.063680,36.553740,1.883530,4.669080,6.293140,4.848730,-1.149940,0.857630,7.943060,-0.146930,-0.412960,-1.373820
4,25,2033,5,135.279690,-63.870060,36.878340,1.883530,4.669080,6.246060,4.884670,-1.178420,0.884560,7.927670,-0.158930,-0.411790,-1.414760
4,25,2034,6,135.530290,-63.674770,37.216780,1.883530,4.669080,6.197160,4.922020,-1.205470,0.909690,7.912120,-0.171420,-0.409780,-1.453540
4,25,2035,7,135.778230,-63.478070,37.578180,1.883530,4.669080,6.146770,4.960730,-1.230560,0.932660,7.896720,-0.182920,-0.406470,-1.489610
4,25,2036,8,136.022800,-63.278090,37.959910,1.883530,4.669080,6.095500,5.000040,-1.253540,0.953480,7.881520,-0.192840,-0.401850,-1.522830
4,25,2037,9,136.265510,-63.075870,38.360160,1.883530,4.669080,6.043350,5.039600,-1.274490,0.972580,7.866340,-0.201160,-0.395780,-1.553580
4,25,2038,10,136.505520,-62.872060,38.778280,1.883530,4.669080,5.990660,5.079350,-1.293590,0.990550,7.851410,-0.207740,-0.388060,-1.582390
4,25,2039,11,136.742390,-62.666510,39.208900,1.883530,4.669080,5.937880,5.119180,-1.311310,1.007990,7.837030,-0.212950,-0.378860,-1.609980
