case_id,method,frame,speed_mps,accel_mps2
inD_02_track12_frame409,GT,1,18.96175528,-1.87810166
inD_02_track12_frame409,GT,2,18.89167945,-2.30451666
inD_02_track12_frame409,GT,3,18.78679281,-2.88306902
inD_02_track12_frame409,GT,4,18.65322411,-3.46525084
inD_02_track12_frame409,GT,5,18.50076621,-3.91450559
inD_02_track12_frame409,GT,6,18.34171277,-4.22979074
inD_02_track12_frame409,GT,7,18.16764048,-4.51349450
inD_02_track12_frame409,GT,8,17.97954970,-4.80101476
inD_02_track12_frame409,GT,9,17.78211336,-5.05342056
inD_02_track12_frame409,GT,10,17.57673540,-5.21260266
inD_02_track12_frame409,GT,11,17.36445757,-5.27952745
inD_02_track12_frame409,GT,12,17.15064984,-5.29717464
inD_02_track12_frame409,GT,13,16.94068486,-5.32871674
inD_02_track12_frame409,GT,14,16.72895457,-5.42820732
inD_02_track12_frame409,GT,15,16.50866574,-5.58906608
inD_02_track12_frame409,GT,16,16.28033622,-5.73467071
inD_02_track12_frame409,GT,17,16.04707878,-5.80965829
inD_02_track12_frame409,GT,18,15.81506864,-5.80229408
inD_02_track12_frame409,GT,19,15.58424024,-5.73412825
inD_02_track12_frame409,GT,20,15.35438867,-5.66612270
inD_02_track12_frame409,GT,21,15.13071180,-5.63939388
inD_02_track12_frame409,GT,22,14.90648339,-5.66239492
inD_02_track12_frame409,GT,23,14.67772638,-5.75987357
inD_02_track12_frame409,GT,24,14.44445285,-5.90825594
inD_02_track12_frame409,GT,25,14.20637998,-6.06139442
inD_02_track12_frame409,GT,26,13.95897587,-6.22479167
inD_02_track12_frame409,GT,27,13.70802645,-6.37935466
inD_02_track12_frame409,GT,28,13.45057272,-6.47408505
inD_02_track12_frame409,GT,29,13.18866342,-6.48568993
inD_02_track12_frame409,GT,30,12.92948638,-6.39112109
inD_02_track12_frame409,GT,31,12.67626205,-6.23921230
inD_02_track12_frame409,GT,32,12.43082336,-6.09915480
inD_02_track12_frame409,GT,33,12.19290047,-5.97415398
inD_02_track12_frame409,GT,34,11.95102845,-5.88145728
inD_02_track12_frame409,GT,35,11.71927056,-5.81616419
inD_02_track12_frame409,GT,36,11.48921860,-5.76035176
inD_02_track12_frame409,GT,37,11.25899534,-5.71083173
inD_02_track12_frame409,GT,38,11.03033157,-5.69993290
inD_02_track12_frame409,GT,39,10.80186204,-5.75051097
inD_02_track12_frame409,GT,40,10.57962321,-5.75030599
inD_02_track12_frame409,GT,41,10.34548311,-5.43922222
inD_02_track12_frame409,GT,42,10.12564276,-4.78410013
inD_02_track12_frame409,GT,43,9.94887040,-3.99658761
inD_02_track12_frame409,GT,44,9.82277512,-3.35104220
inD_02_track12_frame409,Ours,1,18.73614271,-2.04352652
inD_02_track12_frame409,Ours,2,18.65928043,-2.45957537
inD_02_track12_frame409,Ours,3,18.54923677,-3.00809249
inD_02_track12_frame409,Ours,4,18.41152604,-3.51732818
inD_02_track12_frame409,Ours,5,18.25737778,-3.84402088
inD_02_track12_frame409,Ours,6,18.10431098,-4.00065682
inD_02_track12_frame409,Ours,7,17.94305545,-4.12748951
inD_02_track12_frame409,Ours,8,17.77433398,-4.29484214
inD_02_track12_frame409,Ours,9,17.59854515,-4.47399412
inD_02_track12_frame409,Ours,10,17.41638183,-4.62809150
inD_02_track12_frame409,Ours,11,17.22832715,-4.76895993
inD_02_track12_frame409,Ours,12,17.03488032,-4.89670188
inD_02_track12_frame409,Ours,13,16.83656938,-5.01140378
inD_02_track12_frame409,Ours,14,16.63392812,-5.11343946
inD_02_track12_frame409,Ours,15,16.42746690,-5.20433244
inD_02_track12_frame409,Ours,16,16.21761580,-5.28570446
inD_02_track12_frame409,Ours,17,16.00462987,-5.35935450
inD_02_track12_frame409,Ours,18,15.78886199,-5.42643112
inD_02_track12_frame409,Ours,19,15.57055619,-5.48699290
inD_02_track12_frame409,Ours,20,15.34991369,-5.54107643
inD_02_track12_frame409,Ours,21,15.12725505,-5.58823734
inD_02_track12_frame409,Ours,22,14.90285669,-5.62787887
inD_02_track12_frame409,Ours,23,14.67700641,-5.66001206
inD_02_track12_frame409,Ours,24,14.45006136,-5.68469768
inD_02_track12_frame409,Ours,25,14.22223518,-5.70217731
inD_02_track12_frame409,Ours,26,13.99389213,-5.71253824
inD_02_track12_frame409,Ours,27,13.76526384,-5.71508992
inD_02_track12_frame409,Ours,28,13.53667220,-5.70928120
inD_02_track12_frame409,Ours,29,13.30849849,-5.69429151
inD_02_track12_frame409,Ours,30,13.08112760,-5.66951123
inD_02_track12_frame409,Ours,31,12.85489469,-5.63546934
inD_02_track12_frame409,Ours,32,12.63025803,-5.59350911
inD_02_track12_frame409,Ours,33,12.40742314,-5.54543582
inD_02_track12_frame409,Ours,34,12.18665625,-5.49307540
inD_02_track12_frame409,Ours,35,11.96799361,-5.43782183
inD_02_track12_frame409,Ours,36,11.75163402,-5.38008838
inD_02_track12_frame409,Ours,37,11.53761632,-5.29859488
inD_02_track12_frame409,Ours,38,11.32603827,-5.26003421
inD_02_track12_frame409,Ours,39,11.11706364,-5.32106505
inD_02_track12_frame409,Ours,40,10.91076653,-5.36114415
inD_02_track12_frame409,Ours,41,10.68949690,-5.13402123
inD_02_track12_frame409,Ours,42,10.48276464,-4.57578671
inD_02_track12_frame409,Ours,43,10.31136304,-3.86963085
inD_02_track12_frame409,Ours,44,10.18738717,-3.28689702
inD_02_track12_frame409,GAN-TL,1,18.74036864,-2.01170204
inD_02_track12_frame409,GAN-TL,2,18.66468265,-2.41963607
inD_02_track12_frame409,GAN-TL,3,18.55646397,-2.95735331
inD_02_track12_frame409,GAN-TL,4,18.42108040,-3.45711534
inD_02_track12_frame409,GAN-TL,5,18.26957241,-3.78112097
inD_02_track12_frame409,GAN-TL,6,18.11896234,-3.94254618
inD_02_track12_frame409,GAN-TL,7,17.95988957,-4.07983368
inD_02_track12_frame409,GAN-TL,8,17.79264856,-4.26393979
inD_02_track12_frame409,GAN-TL,9,17.61792539,-4.46607801
inD_02_track12_frame409,GAN-TL,10,17.43552052,-4.64876415
inD_02_track12_frame409,GAN-TL,11,17.24596880,-4.82294221
inD_02_track12_frame409,GAN-TL,12,17.04968878,-4.98395704
inD_02_track12_frame409,GAN-TL,13,16.84722845,-5.12878333
inD_02_track12_frame409,GAN-TL,14,16.63918023,-5.25873440
inD_02_track12_frame409,GAN-TL,15,16.42650728,-5.37649960
inD_02_track12_frame409,GAN-TL,16,16.20920346,-5.48599837
inD_02_track12_frame409,GAN-TL,17,15.98776463,-5.58858233
inD_02_track12_frame409,GAN-TL,18,15.76216753,-5.68163063
inD_02_track12_frame409,GAN-TL,19,15.53313778,-5.76109243
inD_02_track12_frame409,GAN-TL,20,15.30125530,-5.82277266
inD_02_track12_frame409,GAN-TL,21,15.06720034,-5.86653656
inD_02_track12_frame409,GAN-TL,22,14.83174322,-5.89676325
inD_02_track12_frame409,GAN-TL,23,14.59555294,-5.91948686
inD_02_track12_frame409,GAN-TL,24,14.35844283,-5.93838835
inD_02_track12_frame409,GAN-TL,25,14.12070480,-5.95001798
inD_02_track12_frame409,GAN-TL,26,13.88225452,-5.94865404
inD_02_track12_frame409,GAN-TL,27,13.64442261,-5.93225605
